Time resolution is 1 ps
Time: 0 | Master Din: 00 | Addr: 0000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 55000 | Master Din: xx | Addr: 0000 | Write Enable: 0 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 65000 | Master Din: a5 | Addr: 0000 | Write Enable: 0 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 75000 | Master Din: 00 | Addr: 0000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 105000 | Master Din: 00 | Addr: 0001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 125000 | Master Din: a5 | Addr: 0001 | Write Enable: 1 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 145000 | Master Din: 00 | Addr: 0001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 175000 | Master Din: 00 | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 195000 | Master Din: xx | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
$finish called at time : 205 ns : File "C:/Users/Hansa Niluka/OneDrive - University of Moratuwa/semster 07/4.EN4021 - Advanced Digital Systems/Bus-Desingn/Simple_bus_SMMS/Simple_bus_SMMS.srcs/sources_1/new/SMMS_bus_tb.v" Line 178
Time: 205000 | Master Din: a5 | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 215000 | Master Din: 00 | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 245000 | Master Din: 00 | Addr: 0101 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 265000 | Master Din: a5 | Addr: 0101 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 285000 | Master Din: 00 | Addr: 0101 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 315000 | Master Din: 00 | Addr: 1000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 335000 | Master Din: xx | Addr: 1000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
Time: 345000 | Master Din: a5 | Addr: 1000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
Time: 355000 | Master Din: 00 | Addr: 1000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 385000 | Master Din: 00 | Addr: 1001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 405000 | Master Din: a5 | Addr: 1001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
Time: 425000 | Master Din: 00 | Addr: 1001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 515000 | Master Din: 00 | Addr: 0000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 535000 | Master Din: a5 | Addr: 0000 | Write Enable: 0 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 555000 | Master Din: 00 | Addr: 0000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 585000 | Master Din: 00 | Addr: 0001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 605000 | Master Din: a5 | Addr: 0001 | Write Enable: 1 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 625000 | Master Din: 00 | Addr: 0001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 655000 | Master Din: 00 | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 675000 | Master Din: a5 | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 695000 | Master Din: 00 | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 725000 | Master Din: 00 | Addr: 0101 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 745000 | Master Din: a5 | Addr: 0101 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 765000 | Master Din: 00 | Addr: 0101 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 795000 | Master Din: 00 | Addr: 1000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 815000 | Master Din: a5 | Addr: 1000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
Time: 835000 | Master Din: 00 | Addr: 1000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 865000 | Master Din: 00 | Addr: 1001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 885000 | Master Din: a5 | Addr: 1001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
Time: 905000 | Master Din: 00 | Addr: 1001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 995000 | Master Din: 00 | Addr: 0000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1015000 | Master Din: a5 | Addr: 0000 | Write Enable: 0 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1035000 | Master Din: 00 | Addr: 0000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1065000 | Master Din: 00 | Addr: 0001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1085000 | Master Din: a5 | Addr: 0001 | Write Enable: 1 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1105000 | Master Din: 00 | Addr: 0001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1135000 | Master Din: 00 | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1155000 | Master Din: a5 | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 1175000 | Master Din: 00 | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1205000 | Master Din: 00 | Addr: 0101 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 1225000 | Master Din: a5 | Addr: 0101 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
