Time resolution is 1 ps
Time: 0 | Master Din: xx |  Addr: 0000 | Write Enable: 0
Time: 35000 | Master Din: xx |  Addr: 0001 | Write Enable: 0
Time: 55000 | Master Din: a5 |  Addr: 0001 | Write Enable: 0
Time: 95000 | Master Din: a5 |  Addr: 0010 | Write Enable: 1
Time: 155000 | Master Din: a5 |  Addr: 0010 | Write Enable: 0
Time: 165000 | Master Din: 02 |  Addr: 0010 | Write Enable: 0
Time: 185000 | Master Din: 02 |  Addr: 0011 | Write Enable: 0
Time: 195000 | Master Din: 00 |  Addr: 0011 | Write Enable: 0
$finish called at time : 205 ns : File "C:/Users/Hansa Niluka/OneDrive - University of Moratuwa/semster 07/4.EN4021 - Advanced Digital Systems/Bus-Desingn/simple_bus/simple_bus.srcs/sources_1/new/tb_master_slave.v" Line 129
Time: 255000 | Master Din: 00 |  Addr: 0100 | Write Enable: 1
Time: 295000 | Master Din: 00 |  Addr: 0100 | Write Enable: 0
Time: 305000 | Master Din: 04 |  Addr: 0101 | Write Enable: 0
Time: 315000 | Master Din: a5 |  Addr: 0101 | Write Enable: 0
Time: 345000 | Master Din: a5 |  Addr: 0110 | Write Enable: 1
Time: 375000 | Master Din: a5 |  Addr: 0110 | Write Enable: 0
Time: 385000 | Master Din: 06 |  Addr: 0110 | Write Enable: 0
Time: 415000 | Master Din: 06 |  Addr: 0001 | Write Enable: 0
Time: 425000 | Master Din: a5 |  Addr: 0001 | Write Enable: 0
Time: 465000 | Master Din: a5 |  Addr: 0010 | Write Enable: 1
Time: 495000 | Master Din: a5 |  Addr: 0010 | Write Enable: 0
Time: 505000 | Master Din: 02 |  Addr: 0011 | Write Enable: 0
Time: 515000 | Master Din: 00 |  Addr: 0011 | Write Enable: 0
Time: 575000 | Master Din: 00 |  Addr: 0100 | Write Enable: 1
Time: 615000 | Master Din: 00 |  Addr: 0100 | Write Enable: 0
Time: 625000 | Master Din: 04 |  Addr: 0101 | Write Enable: 0
Time: 635000 | Master Din: a5 |  Addr: 0101 | Write Enable: 0
Time: 665000 | Master Din: a5 |  Addr: 0110 | Write Enable: 1
Time: 695000 | Master Din: a5 |  Addr: 0110 | Write Enable: 0
Time: 705000 | Master Din: 06 |  Addr: 0110 | Write Enable: 0
Time: 735000 | Master Din: 06 |  Addr: 0001 | Write Enable: 0
Time: 745000 | Master Din: a5 |  Addr: 0001 | Write Enable: 0
Time: 785000 | Master Din: a5 |  Addr: 0010 | Write Enable: 1
Time: 815000 | Master Din: a5 |  Addr: 0010 | Write Enable: 0
Time: 825000 | Master Din: 02 |  Addr: 0011 | Write Enable: 0
Time: 835000 | Master Din: 00 |  Addr: 0011 | Write Enable: 0
Time: 895000 | Master Din: 00 |  Addr: 0100 | Write Enable: 1
Time: 935000 | Master Din: 00 |  Addr: 0100 | Write Enable: 0
Time: 945000 | Master Din: 04 |  Addr: 0101 | Write Enable: 0
Time: 955000 | Master Din: a5 |  Addr: 0101 | Write Enable: 0
Time: 985000 | Master Din: a5 |  Addr: 0110 | Write Enable: 1
Time: 1015000 | Master Din: a5 |  Addr: 0110 | Write Enable: 0
Time: 1025000 | Master Din: 06 |  Addr: 0110 | Write Enable: 0
Time: 1055000 | Master Din: 06 |  Addr: 0001 | Write Enable: 0
Time: 1065000 | Master Din: a5 |  Addr: 0001 | Write Enable: 0
Time: 1105000 | Master Din: a5 |  Addr: 0010 | Write Enable: 1
Time: 1135000 | Master Din: a5 |  Addr: 0010 | Write Enable: 0
Time: 1145000 | Master Din: 02 |  Addr: 0011 | Write Enable: 0
Time: 1155000 | Master Din: 00 |  Addr: 0011 | Write Enable: 0
Time: 1215000 | Master Din: 00 |  Addr: 0100 | Write Enable: 1
Time: 1255000 | Master Din: 00 |  Addr: 0100 | Write Enable: 0
Time: 1265000 | Master Din: 04 |  Addr: 0101 | Write Enable: 0
Time: 1275000 | Master Din: a5 |  Addr: 0101 | Write Enable: 0
Time: 1305000 | Master Din: a5 |  Addr: 0110 | Write Enable: 1
Time: 1335000 | Master Din: a5 |  Addr: 0110 | Write Enable: 0
Time: 1345000 | Master Din: 06 |  Addr: 0110 | Write Enable: 0
