Time resolution is 1 ps
Time: 0 | Master Din: 00 | Addr: 0000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 55000 | Master Din: xx | Addr: 0000 | Write Enable: 0 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 65000 | Master Din: a5 | Addr: 0000 | Write Enable: 0 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 75000 | Master Din: 00 | Addr: 0000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 105000 | Master Din: 00 | Addr: 0001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 115000 | Master Din: xx | Addr: 1001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
Time: 135000 | Master Din: 00 | Addr: 0001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 145000 | Master Din: a5 | Addr: 0001 | Write Enable: 1 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 165000 | Master Din: 00 | Addr: 0001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 185000 | Master Din: xx | Addr: 1000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
Time: 195000 | Master Din: a5 | Addr: 1000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
$finish called at time : 205 ns : File "C:/Users/Hansa Niluka/OneDrive - University of Moratuwa/semster 07/4.EN4021 - Advanced Digital Systems/Bus-Desingn/simple_bus_MMMS/simple_bus_MMMS.srcs/sources_1/new/MMMS_bus_tb.v" Line 222
Time: 205000 | Master Din: 00 | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 215000 | Master Din: xx | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 225000 | Master Din: a5 | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 235000 | Master Din: 00 | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 255000 | Master Din: a5 | Addr: 0101 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 275000 | Master Din: 00 | Addr: 0101 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 285000 | Master Din: a5 | Addr: 0101 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 305000 | Master Din: 00 | Addr: 0101 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 325000 | Master Din: a5 | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 345000 | Master Din: 00 | Addr: 1000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 355000 | Master Din: a5 | Addr: 1000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
Time: 375000 | Master Din: 00 | Addr: 1000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 395000 | Master Din: a5 | Addr: 0001 | Write Enable: 1 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 415000 | Master Din: 00 | Addr: 1001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 425000 | Master Din: a5 | Addr: 1001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
Time: 445000 | Master Din: 00 | Addr: 1001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 465000 | Master Din: a5 | Addr: 0000 | Write Enable: 0 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 485000 | Master Din: 00 | Addr: 1001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 535000 | Master Din: 00 | Addr: 0000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 555000 | Master Din: a5 | Addr: 0000 | Write Enable: 0 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 575000 | Master Din: 00 | Addr: 0000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 595000 | Master Din: a5 | Addr: 1001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
Time: 615000 | Master Din: 00 | Addr: 0001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 625000 | Master Din: a5 | Addr: 0001 | Write Enable: 1 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 645000 | Master Din: 00 | Addr: 0001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 665000 | Master Din: a5 | Addr: 1000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
Time: 685000 | Master Din: 00 | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 695000 | Master Din: a5 | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 715000 | Master Din: 00 | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 735000 | Master Din: a5 | Addr: 0101 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 755000 | Master Din: 00 | Addr: 0101 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 765000 | Master Din: a5 | Addr: 0101 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 785000 | Master Din: 00 | Addr: 0101 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 805000 | Master Din: a5 | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
Time: 825000 | Master Din: 00 | Addr: 1000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 835000 | Master Din: a5 | Addr: 1000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
Time: 855000 | Master Din: 00 | Addr: 1000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 875000 | Master Din: a5 | Addr: 0001 | Write Enable: 1 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 895000 | Master Din: 00 | Addr: 1001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
