Time resolution is 1 ps
Time: 0 | Master Din: 00 | Addr: 0000 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 35000 | Master Din: 00 | Addr: 0010 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 55000 | Master Din: 00 | Addr: 0010 | Write Enable: 0 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 75000 | Master Din: 00 | Addr: 0010 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 85000 | Master Din: 00 | Addr: 0011 | Write Enable: 0 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 95000 | Master Din: 00 | Addr: 0010 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 225000 | Master Din: 00 | Addr: 0010 | Write Enable: 0 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 235000 | Master Din: 5a | Addr: 0010 | Write Enable: 0 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 245000 | Master Din: 00 | Addr: 0011 | Write Enable: 0 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 265000 | Master Din: 00 | Addr: 0010 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 275000 | Master Din: 00 | Addr: 0001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 295000 | Master Din: 00 | Addr: 0001 | Write Enable: 1 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 305000 | Master Din: 00 | Addr: 0001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 415000 | Master Din: 00 | Addr: 0011 | Write Enable: 0 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 425000 | Master Din: a5 | Addr: 0011 | Write Enable: 0 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 435000 | Master Din: 00 | Addr: 0001 | Write Enable: 1 | Slave1 Select: 1 | Slave2 Select: 0 | Slave3 Select: 0
Time: 455000 | Master Din: 00 | Addr: 0001 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 485000 | Master Din: xx | Addr: 1001 | Write Enable: 1 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 1
Time: 505000 | Master Din: 00 | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 0 | Slave3 Select: 0
Time: 515000 | Master Din: xx | Addr: 0100 | Write Enable: 0 | Slave1 Select: 0 | Slave2 Select: 1 | Slave3 Select: 0
