Time resolution is 1 ps
Time=                   0 | reset=1 | re=0 | wr=0 | grant=0 | slack=0 | ack=0 | request=0
Time=               20000 | reset=0 | re=0 | wr=0 | grant=0 | slack=0 | ack=0 | request=0
Time=               30000 | reset=0 | re=1 | wr=0 | grant=0 | slack=0 | ack=0 | request=1
Time=               50000 | reset=0 | re=1 | wr=0 | grant=1 | slack=0 | ack=0 | request=1
Time=               55000 | reset=0 | re=1 | wr=0 | grant=1 | slack=0 | ack=0 | request=0
Time=               70000 | reset=0 | re=1 | wr=0 | grant=1 | slack=1 | ack=1 | request=0
Time=               75000 | reset=0 | re=1 | wr=0 | grant=1 | slack=1 | ack=0 | request=1
Time=               80000 | reset=0 | re=0 | wr=0 | grant=0 | slack=0 | ack=0 | request=0
Time=              100000 | reset=0 | re=0 | wr=1 | grant=0 | slack=0 | ack=0 | request=1
Time=              105000 | reset=0 | re=0 | wr=0 | grant=0 | slack=0 | ack=0 | request=1
Time=              130000 | reset=0 | re=0 | wr=0 | grant=1 | slack=0 | ack=0 | request=1
Time=              135000 | reset=0 | re=0 | wr=0 | grant=1 | slack=0 | ack=0 | request=0
Time=              150000 | reset=0 | re=0 | wr=0 | grant=1 | slack=1 | ack=1 | request=0
Time=              155000 | reset=0 | re=0 | wr=1 | grant=1 | slack=1 | ack=0 | request=1
Time=              160000 | reset=0 | re=0 | wr=0 | grant=0 | slack=0 | ack=0 | request=0
Time=              180000 | reset=0 | re=1 | wr=0 | grant=0 | slack=0 | ack=0 | request=1
Time=              260000 | reset=0 | re=0 | wr=0 | grant=0 | slack=0 | ack=0 | request=1
Time=              300000 | reset=0 | re=0 | wr=0 | grant=1 | slack=0 | ack=0 | request=1
Time=              305000 | reset=0 | re=0 | wr=0 | grant=1 | slack=0 | ack=0 | request=0
Time=              350000 | reset=0 | re=0 | wr=0 | grant=1 | slack=1 | ack=1 | request=0
Time=              355000 | reset=0 | re=0 | wr=1 | grant=1 | slack=1 | ack=0 | request=1
Time=              360000 | reset=0 | re=0 | wr=0 | grant=0 | slack=0 | ack=0 | request=0
$finish called at time : 410 ns : File "C:/Users/Hansa Niluka/OneDrive - University of Moratuwa/semster 07/4.EN4021 - Advanced Digital Systems/Bus-Desingn/simple_master/simple_master.srcs/sources_1/new/tb_master_interface.v" Line 89
